Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","1991","1991","t","428305","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","1992","1992","ha","793000","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","1992","1992","kg/ha","551","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","1992","1992","t","436930","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","1993","1993","ha","810000","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","1993","1993","kg/ha","541.8","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","1993","1993","t","438868","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","1994","1994","ha","797000","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","1994","1994","kg/ha","564.9","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","1994","1994","t","450191","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","1995","1995","ha","846078","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","1995","1995","kg/ha","541.1","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","1995","1995","t","457801","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","1996","1996","ha","836621","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","1996","1996","kg/ha","504.1","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","1996","1996","t","421751","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","1997","1997","ha","831782","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","1997","1997","kg/ha","513.1","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","1997","1997","t","426800","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","1998","1998","ha","844172","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","1998","1998","kg/ha","606.7","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","1998","1998","t","512165","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","1999","1999","ha","900000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","1999","1999","kg/ha","583","E","Estimated value",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","1999","1999","t","524687","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2000","2000","ha","1260687","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2000","2000","kg/ha","439.9","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2000","2000","t","554574","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2001","2001","ha","1313383","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2001","2001","kg/ha","433.4","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2001","2001","t","569234","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2002","2002","ha","1372184","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2002","2002","kg/ha","497","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2002","2002","t","682019","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2003","2003","ha","1381730","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2003","2003","kg/ha","480.2","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2003","2003","t","663571","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2004","2004","ha","1303943","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2004","2004","kg/ha","496.5","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2004","2004","t","647385","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2005","2005","ha","1255272","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2005","2005","kg/ha","510.1","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2005","2005","t","640365","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2006","2006","ha","1308732","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2006","2006","kg/ha","521.2","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2006","2006","t","682158","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2007","2007","ha","1295912","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2007","2007","kg/ha","522","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2007","2007","t","676475","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2008","2008","ha","1295111","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2008","2008","kg/ha","539","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2008","2008","t","698016","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2009","2009","ha","1266235","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2009","2009","kg/ha","539.1","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2009","2009","t","682591","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2010","2010","ha","1268476","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2010","2010","kg/ha","539.3","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2010","2010","t","684076","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2011","2011","ha","1293000","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2011","2011","kg/ha","493.9","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2011","2011","t","638600","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2012","2012","ha","1233900","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2012","2012","kg/ha","560.1","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2012","2012","t","691163","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2013","2013","ha","1241700","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2013","2013","kg/ha","544.3","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2013","2013","t","675800","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2014","2014","ha","1230500","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2014","2014","kg/ha","523.3","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2014","2014","t","643900","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2015","2015","ha","1230001","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2015","2015","kg/ha","519.8","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2015","2015","t","639412","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2016","2016","ha","1228512","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2016","2016","kg/ha","520.4","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2016","2016","t","639305","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2017","2017","ha","1238598","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5412","Yield","01610","Coffee, green","2017","2017","kg/ha","579.7","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5510","Production","01610","Coffee, green","2017","2017","t","717962","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5312","Area harvested","01610","Coffee, green","2018","2018","ha","1252826","A","Official figure",""
